,State,County,Entity,Facility ID,Plant Name,Status,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Primary Purpose,Primary Energy Source,Secondary Energy Source,Initial Year of Operation,location,latlons,lat,lon
68,VA,Giles,Appalachian Power Co,3776,Glen Lyn,OP,237.5,235.0,240.0,22,BIT,,1957,Giles+VA,"[-80.6770787, 37.3132885]",37.3132885,-80.6770787
69,WV,Putnam,Appalachian Power Co,3935,John E Amos,OP,816.3,800.0,800.0,22,BIT,,1971,Putnam+WV,"[-81.909826, 38.4991939]",38.4991939,-81.909826
70,WV,Putnam,Appalachian Power Co,3935,John E Amos,OP,816.3,800.0,800.0,22,BIT,,1972,Putnam+WV,"[-81.909826, 38.4991939]",38.4991939,-81.909826
71,WV,Putnam,Appalachian Power Co,3935,John E Amos,OP,1300.0,1300.0,1300.0,22,BIT,,1973,Putnam+WV,"[-81.909826, 38.4991939]",38.4991939,-81.909826
72,WV,Kanawha,Appalachian Power Co,3936,Kanawha River,OP,219.6,200.0,200.0,22,BIT,,1953,Kanawha+WV,"[-81.42789839999999, 38.2556905]",38.2556905,-81.42789839999999
73,WV,Kanawha,Appalachian Power Co,3936,Kanawha River,OP,219.6,200.0,200.0,22,BIT,,1953,Kanawha+WV,"[-81.42789839999999, 38.2556905]",38.2556905,-81.42789839999999
74,WV,Mason,Appalachian Power Co,3938,Philip Sporn,OP,152.5,145.0,150.0,22,BIT,,1950,Mason+WV,"[-82.0290296, 39.021745]",39.021745,-82.0290296
75,WV,Mason,Appalachian Power Co,3938,Philip Sporn,OP,152.5,145.0,150.0,22,BIT,,1950,Mason+WV,"[-82.0290296, 39.021745]",39.021745,-82.0290296
76,WV,Mason,Appalachian Power Co,3938,Philip Sporn,OP,152.5,145.0,150.0,22,BIT,,1951,Mason+WV,"[-82.0290296, 39.021745]",39.021745,-82.0290296
77,WV,Mason,Appalachian Power Co,3938,Philip Sporn,OP,152.5,145.0,150.0,22,BIT,,1952,Mason+WV,"[-82.0290296, 39.021745]",39.021745,-82.0290296
78,WV,Mason,Appalachian Power Co,3938,Philip Sporn,OP,495.5,440.0,450.0,22,BIT,,1960,Mason+WV,"[-82.0290296, 39.021745]",39.021745,-82.0290296
79,WV,Mason,Appalachian Power Co,6264,Mountaineer,OP,1300.0,1300.0,1300.0,22,BIT,,1980,Mason+WV,"[-82.0290296, 39.021745]",39.021745,-82.0290296
80,IA,Clinton,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,OP,75.0,75.0,75.0,311,SUB,BIT,2009,Clinton+IA,"[-90.1887379, 41.8444735]",41.8444735,-90.1887379
81,IA,Clinton,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,OP,105.0,105.0,105.0,311,SUB,BIT,2009,Clinton+IA,"[-90.1887379, 41.8444735]",41.8444735,-90.1887379
82,IA,Polk,Archer Daniels Midland Co,10861,Archer Daniels Midland Des Moines,OP,7.9,7.9,7.9,311,SUB,,1988,Polk+IA,"[-93.5003454, 41.6278423]",41.6278423,-93.5003454
83,NE,Lancaster,Archer Daniels Midland Co,10862,Archer Daniels Midland Lincoln,OP,7.9,7.9,7.9,311,SUB,,1988,Lancaster+NE,"[-96.663812, 40.8471492]",40.8471492,-96.663812
84,MN,Blue Earth,Archer Daniels Midland Co,10863,Archer Daniels Midland Mankato,OP,6.1,6.2,6.2,311,SUB,,1987,Blue Earth+MN,"[-94.10239059999999, 43.6375818]",43.6375818,-94.10239059999999
85,IA,Linn,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,OP,31.0,31.0,31.0,311,SUB,BIT,1988,Linn+IA,"[-91.67606909999999, 42.0659844]",42.0659844,-91.67606909999999
86,IA,Linn,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,OP,31.0,31.0,31.0,311,SUB,BIT,1988,Linn+IA,"[-91.67606909999999, 42.0659844]",42.0659844,-91.67606909999999
87,IA,Linn,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,OP,31.0,31.0,31.0,311,SUB,BIT,1988,Linn+IA,"[-91.67606909999999, 42.0659844]",42.0659844,-91.67606909999999
88,IA,Linn,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,OP,31.0,31.0,31.0,311,SUB,BIT,1988,Linn+IA,"[-91.67606909999999, 42.0659844]",42.0659844,-91.67606909999999
89,IA,Linn,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,OP,31.0,31.0,31.0,311,SUB,BIT,1995,Linn+IA,"[-91.67606909999999, 42.0659844]",42.0659844,-91.67606909999999
90,IA,Linn,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,OP,101.1,105.0,105.0,311,SUB,BIT,2000,Linn+IA,"[-91.67606909999999, 42.0659844]",42.0659844,-91.67606909999999
91,IL,Macon,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,OP,31.0,31.0,31.0,311,BIT,SUB,1987,Macon+IL,"[-88.9970218, 39.7128155]",39.7128155,-88.9970218
92,IL,Macon,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,OP,31.0,31.0,31.0,311,BIT,SUB,1987,Macon+IL,"[-88.9970218, 39.7128155]",39.7128155,-88.9970218
93,IL,Macon,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,OP,31.0,31.0,31.0,311,BIT,SUB,1987,Macon+IL,"[-88.9970218, 39.7128155]",39.7128155,-88.9970218
94,IL,Macon,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,OP,31.0,31.0,31.0,311,BIT,SUB,1987,Macon+IL,"[-88.9970218, 39.7128155]",39.7128155,-88.9970218
95,IL,Macon,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,OP,31.0,31.0,31.0,311,BIT,SUB,1994,Macon+IL,"[-88.9970218, 39.7128155]",39.7128155,-88.9970218
96,IL,Macon,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,OP,75.0,75.0,75.0,311,BIT,SUB,1997,Macon+IL,"[-88.9970218, 39.7128155]",39.7128155,-88.9970218
97,IL,Macon,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,OP,105.0,105.0,105.0,311,BIT,SUB,2005,Macon+IL,"[-88.9970218, 39.7128155]",39.7128155,-88.9970218
98,IL,Peoria,Archer Daniels Midland Co,10866,Archer Daniels Midland Peoria,OP,1.5,1.5,1.5,311,BIT,NG,1934,Peoria+IL,"[-89.5889864, 40.6936488]",40.6936488,-89.5889864
99,IL,Peoria,Archer Daniels Midland Co,10866,Archer Daniels Midland Peoria,OP,1.5,1.5,1.5,311,BIT,NG,1934,Peoria+IL,"[-89.5889864, 40.6936488]",40.6936488,-89.5889864
100,IL,Peoria,Archer Daniels Midland Co,10866,Archer Daniels Midland Peoria,OP,4.0,4.0,4.0,311,BIT,NG,1954,Peoria+IL,"[-89.5889864, 40.6936488]",40.6936488,-89.5889864
101,IL,Peoria,Archer Daniels Midland Co,10866,Archer Daniels Midland Peoria,OP,4.0,4.0,4.0,311,BIT,NG,1985,Peoria+IL,"[-89.5889864, 40.6936488]",40.6936488,-89.5889864
102,IL,Peoria,Archer Daniels Midland Co,10866,Archer Daniels Midland Peoria,OP,4.0,4.0,4.0,311,BIT,NG,1985,Peoria+IL,"[-89.5889864, 40.6936488]",40.6936488,-89.5889864
103,ND,Pembina,Archer Daniels Midland Co,55638,Walhalla,SB,2.0,2.0,2.0,311,SUB,,2000,Pembina+ND,"[-97.2436761, 48.9663765]",48.9663765,-97.2436761
104,NE,PLATTE,Archer Daniels Midland Co,57046,Archer Daniels Midland Columbus,OP,71.4,61.0,61.0,311,SUB,BIT,2010,PLATTE+NE,"[-97.5247243, 41.59406]",41.59406,-97.5247243
105,AZ,Cochise,Arizona Electric Pwr Coop Inc,160,Apache Station,OP,204.0,175.0,175.0,22,SUB,NG,1979,Cochise+AZ,"[-109.9211756, 32.1139688]",32.1139688,-109.9211756
106,AZ,Cochise,Arizona Electric Pwr Coop Inc,160,Apache Station,OP,204.0,175.0,175.0,22,SUB,NG,1979,Cochise+AZ,"[-109.9211756, 32.1139688]",32.1139688,-109.9211756
107,AZ,Navajo,Arizona Public Service Co,113,Cholla,OP,113.6,116.0,116.0,22,BIT,NG,1962,Navajo+AZ,"[-110.1402594, 35.4019765]",35.4019765,-110.1402594
108,AZ,Navajo,Arizona Public Service Co,113,Cholla,OP,288.9,260.0,260.0,22,BIT,DFO,1978,Navajo+AZ,"[-110.1402594, 35.4019765]",35.4019765,-110.1402594
109,AZ,Navajo,Arizona Public Service Co,113,Cholla,OP,312.3,271.0,271.0,22,BIT,DFO,1980,Navajo+AZ,"[-110.1402594, 35.4019765]",35.4019765,-110.1402594
110,AZ,Navajo,Arizona Public Service Co,113,Cholla,OP,414.0,380.0,380.0,22,BIT,DFO,1981,Navajo+AZ,"[-110.1402594, 35.4019765]",35.4019765,-110.1402594
111,NM,San Juan,Arizona Public Service Co,2442,Four Corners,OP,190.0,170.0,170.0,22,BIT,,1963,San Juan+NM,"[-108.2377519, 36.3882439]",36.3882439,-108.2377519
112,NM,San Juan,Arizona Public Service Co,2442,Four Corners,OP,190.0,170.0,170.0,22,BIT,,1963,San Juan+NM,"[-108.2377519, 36.3882439]",36.3882439,-108.2377519
113,NM,San Juan,Arizona Public Service Co,2442,Four Corners,OP,253.4,220.0,220.0,22,BIT,,1964,San Juan+NM,"[-108.2377519, 36.3882439]",36.3882439,-108.2377519
114,NM,San Juan,Arizona Public Service Co,2442,Four Corners,OP,818.1,770.0,770.0,22,BIT,,1969,San Juan+NM,"[-108.2377519, 36.3882439]",36.3882439,-108.2377519
115,NM,San Juan,Arizona Public Service Co,2442,Four Corners,OP,818.1,770.0,770.0,22,BIT,,1970,San Juan+NM,"[-108.2377519, 36.3882439]",36.3882439,-108.2377519
116,AR,Jefferson,Entergy Arkansas Inc,6009,White Bluff,OP,850.0,815.0,815.0,22,SUB,,1980,Jefferson+AR,"[-92.1640352, 34.3806516]",34.3806516,-92.1640352
117,AR,Jefferson,Entergy Arkansas Inc,6009,White Bluff,OP,850.0,844.0,844.0,22,SUB,,1981,Jefferson+AR,"[-92.1640352, 34.3806516]",34.3806516,-92.1640352
118,AR,Independence,Entergy Arkansas Inc,6641,Independence,OP,850.0,836.0,836.0,22,SUB,,1983,Independence+AR,"[-91.5983959, 35.8174139]",35.8174139,-91.5983959
119,AR,Independence,Entergy Arkansas Inc,6641,Independence,OP,850.0,842.0,842.0,22,SUB,,1984,Independence+AR,"[-91.5983959, 35.8174139]",35.8174139,-91.5983959
120,MO,New Madrid,"Associated Electric Coop, Inc",2167,New Madrid,OP,600.0,599.0,599.0,22,SUB,,1972,New Madrid+MO,"[-89.52785469999999, 36.5864488]",36.5864488,-89.52785469999999
121,MO,New Madrid,"Associated Electric Coop, Inc",2167,New Madrid,OP,600.0,580.0,580.0,22,SUB,,1977,New Madrid+MO,"[-89.52785469999999, 36.5864488]",36.5864488,-89.52785469999999
122,MO,Randolph,"Associated Electric Coop, Inc",2168,Thomas Hill,OP,180.0,181.7,181.7,22,SUB,,1966,Randolph+MO,"[-94.4955088, 39.1577814]",39.1577814,-94.4955088
123,MO,Randolph,"Associated Electric Coop, Inc",2168,Thomas Hill,OP,285.0,275.0,275.0,22,SUB,,1969,Randolph+MO,"[-94.4955088, 39.1577814]",39.1577814,-94.4955088
124,MO,Randolph,"Associated Electric Coop, Inc",2168,Thomas Hill,OP,670.0,670.0,670.0,22,SUB,,1982,Randolph+MO,"[-94.4955088, 39.1577814]",39.1577814,-94.4955088
125,AK,Fairbanks North Star,Aurora Energy LLC,79,Aurora Energy LLC Chena,OP,5.0,6.0,6.0,22,SUB,,1952,Fairbanks North Star+AK,"[-146.4744155, 64.9526102]",64.9526102,-146.4744155
126,AK,Fairbanks North Star,Aurora Energy LLC,79,Aurora Energy LLC Chena,OP,2.5,2.5,2.5,22,SUB,,1952,Fairbanks North Star+AK,"[-146.4744155, 64.9526102]",64.9526102,-146.4744155
127,AK,Fairbanks North Star,Aurora Energy LLC,79,Aurora Energy LLC Chena,OP,20.0,23.9,23.9,22,SUB,,1975,Fairbanks North Star+AK,"[-146.4744155, 64.9526102]",64.9526102,-146.4744155
128,MN,MOWER,City of Austin - (TX),1961,Austin Northeast,OP,31.9,29.3,29.3,22,BIT,NG,1971,MOWER+MN,"[-92.6983868, 43.6824988]",43.6824988,-92.6983868
129,ND,Mercer,Basin Electric Power Coop,2817,Leland Olds,OP,216.0,222.0,222.0,22,LIG,SUB,1966,Mercer+ND,"[-100.7109688, 47.4905538]",47.4905538,-100.7109688
130,ND,Mercer,Basin Electric Power Coop,2817,Leland Olds,OP,440.0,448.0,448.0,22,LIG,SUB,1975,Mercer+ND,"[-100.7109688, 47.4905538]",47.4905538,-100.7109688
131,WY,Platte,Basin Electric Power Coop,6204,Laramie River Station,OP,570.0,570.0,570.0,22,SUB,,1981,Platte+WY,"[-104.8454619, 42.0505555]",42.0505555,-104.8454619
132,WY,Platte,Basin Electric Power Coop,6204,Laramie River Station,OP,570.0,570.0,570.0,22,SUB,,1981,Platte+WY,"[-104.8454619, 42.0505555]",42.0505555,-104.8454619
133,WY,Platte,Basin Electric Power Coop,6204,Laramie River Station,OP,570.0,570.0,570.0,22,SUB,,1982,Platte+WY,"[-104.8454619, 42.0505555]",42.0505555,-104.8454619
134,ND,Mercer,Basin Electric Power Coop,6469,Antelope Valley,OP,434.9,450.0,450.0,22,LIG,,1984,Mercer+ND,"[-100.7109688, 47.4905538]",47.4905538,-100.7109688
135,ND,Mercer,Basin Electric Power Coop,6469,Antelope Valley,OP,434.9,450.0,450.0,22,LIG,,1986,Mercer+ND,"[-100.7109688, 47.4905538]",47.4905538,-100.7109688
136,WY,Campbell,Basin Electric Power Coop,56609,Dry Fork Station,OP,390.0,405.0,405.0,22,SUB,,2011,Campbell+WY,"[-105.4489183, 44.3956107]",44.3956107,-105.4489183
137,KY,Hancock,Big Rivers Electric Corp,1381,Kenneth C Coleman,OP,205.0,150.0,150.0,22,BIT,,1969,Hancock+KY,"[-86.761749, 37.8280909]",37.8280909,-86.761749
